,EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
10,5564249,ORANGE CO.,LEMON HEIGHTS,10/21/1996,900,Wildfire, , ,0,0,3000000,0,CA,PST, ,2048456,C,59,LOX,0,0, , , , , , , , ,LEMON HEIGHTS, , , , ,,"Strong Santa Ana winds...gusting up to 71 mph...knocked down a
power transformer in the Lemon Heights area. As a result...a fire
began in the community. By the time the fire was extinguished...
twenty-nine homes were destroyed.",11,,,,,,,,,,,,,,,,,,,
11,5576435,SAN DIEGO CO.,HARMONY GROVE,10/21/1996,1400,Wildfire,45, ,0,6,37400000,0,CA,PST, ,2055579,C,73,SGX,0,0, , , , , , , , ,OTAY, , , , ,"Santa Ana winds averaging 30 mph, with gusts to 45, fanned the flames of three wildfires across San Diego County.  The first fire started in Harmony Grove, and quickly spread westward to eastern sections of Carlsbad and Encinitas, burning some 8,600 acres, destroying 125 homes, damaging 122 others, and seriously burning one man. Another fire broke out at 6:55 pm on the Rincon Indian Reservation, and spread to Valley Center, consuming 1,800 acres, and destroying six structures.  The largest fire began around 2:00 am on the 22nd, on desolate Otay Mountain, and spread to the Tijuana River in Mexico, burning over 14,000 acres, three radio towers, and six cows, before it was under control on the 25th.  In all, six people were injured, one critically by fire, 24,435 acres burned, and preliminary damages totaled 37.4 million dollars.",,12,,,,,,,,,,,,,,,,,,,
12,5608767,KERN CO.,TAFT,5/16/1997,1600,Wildfire, , ,0,0,0,0,CA,PST, ,1043981,C,29,HNX,0,0, , , , ,10,N,10,N,TAFT, , , , ,,"The Lokern fire between McKittrick and Tupman in Kern County burned 47,350 acres from the time it was set by lightning on May 16 until contained on May 20.  While no damage was done to the threatened petroleum fields and structures, one tractor-trailer was destroyed in the fire.  No injuries or other damage reported.  NWS HNX supported suppression efforts by weather forecast support from the office.",13,,,,,,,,,,,,,,,,,,,
13,5600707,SANTA BARBARA CO.,HAPPY CANYON,5/27/1997,1715,Wildfire, , ,0,0,0,0,CA,PST, ,2062672,C,83,LOX,0,0, , , , , , , , ,HAPPY CANYON, , , , ,,"Gusty winds fueled another fire in the Santa Ynez Valley. The fire burned 840 acres in the Happy Canyon area.
Authorities reported the fire was started by humans.",14,,,,,,,,,,,,,,,,,,,
14,5624135,SOLANO CO.,SUISUN CITY,5/29/1997,1510,Wildfire, , ,0,0,150000,0,CA,PST, ,2071742,C,95,STO,0,0, , , , , , , , ,SUISUN CITY, , , , ,,"Winds exacerbated a grass fire, destroying one house and damaging a second.",15,,,,,,,,,,,,,,,,,,,
15,5624140,TEHAMA CO.,COUNTYWIDE,6/29/1997,1400,Wildfire, , ,0,0,0,0,CA,PST, ,1050620,C,103,STO,0,0, , , , , , , , ,COUNTYWIDE, , , , ,,"Dry lightning from high-based thunderstorms  caused a two acre fire in Tehama county.  In Shasta county, the lightning started a fire that destroyed the upper story of a home.",16,,,,,,,,,,,,,,,,,,,
16,5624141,SHASTA CO.,REDDING,6/29/1997,1400,Wildfire, , ,0,0,0,0,CA,PST, ,1050620,C,89,STO,0,0, , , , ,10,NE,10,NE,REDDING, , , , ,,"Dry lightning from high-based thunderstorms  caused a two acre fire in Tehama county.  In Shasta county, the lightning started a fire that destroyed the upper story of a home.",17,,,,,,,,,,,,,,,,,,,
17,5624145,SHASTA CO.,MANZANITA LAKE,7/30/1997,1500,Wildfire, , ,0,0,2000000,10000000,CA,PST, ,2071747,C,89,STO,0,0, , , , ,9,E,9,E,MANZANITA LAKE, , , , ,,Dry lightning started the Huffer Fire.  The fire burned 2290 acres in Lassen Volcanic National Park.,18,,,,,,,,,,,,,,,,,,,
18,5615458,SAN DIEGO CO.,VALLEY CENTER,8/1/1997,1300,Wildfire, , ,0,0,1750000,0,CA,PST, ,2067902,C,73,SGX,0,0, , , , ,4,SE,4,SE,VALLEY CENTER, , , , ,"Tinder dry brush and hot, dry weather, intensified a fire which burned 457 acres on the north side of Lake Wohlford.  Although arson was blamed for starting the blaze, shifting seabreeze winds of 15 to 25 mph, helped keep it from being controlled.  Eleven homes, twenty out buildings, and thirty vehicles were lost.  Damage was estimated at $1.75 million",,19,,,,,,,,,,,,,,,,,,,
19,5609942,VENTURA CO.,PIRU,8/5/1997,1200,Wildfire, , ,0,0,5000000,0,CA,PST, ,2067135,C,111,LOX,0,0, , , , , , , , ,PIRU, , , , ,,"High temperatures combined with dry conditions to fuel a wildfire in Ventura county...north of Piru. The Hopper Canyon fire started  at an oil platform in Hopper Canyon. Over 24,000 acres were burned...but no injuries were reported.",20,,,,,,,,,,,,,,,,,,,
20,5608839,FRESNO CO.,FRESNO,8/6/1997,1300,Wildfire, , ,0,0,1900000,0,CA,PST, ,1043984,C,19,HNX,0,0, , , , ,50,ENE,50,ENE,FRESNO, , , , ,"Named the Choke Fire"" it burned more than 3900 acres in the high country of the Southern Sierra Nevada in the Sequoia National Forest.  It was a lightning caused fire from thunderstorms associated with monsoonal moisture.""",,21,,,,,,,,,,,,,,,,,,,
21,5617426,KERN CO.,ONYX,8/8/1997,1100,Wildfire, , ,0,0,3000000,0,CA,PST, ,1048581,C,29,HNX,0,0, , , , ,4,SE,5,SE,ONYX, , , , ,"Named the Jacks Fire""; Southwest of Walker Pass in the Southern Sierra Nevada in Sequoia National Forest.  It was a lightning caused fire from thunderstorms developing from monsoonal moisture.  It burned a total of 5693 acres.  No injuries or structures were reported lost.""",,22,,,,,,,,,,,,,,,,,,,
22,5608768,KERN CO.,BAKERSFIELD,8/19/1997,1300,Wildfire, , ,0,1,400000,0,CA,PST, ,1043982,C,29,HNX,0,0, , , , ,6,ENE,6,ENE,BAKERSFIELD, , , , ,Two homes destroyed and 4000 acres of grassland were burned.,"A gradient wind (non-thunderstorm) with speeds at 40 MPH plus was caused by the old center of Hurricane Ignacio moving over the San Joaquin Valley.  Arsonist started blazes, named the Chocktaw Fire"," pushed into homes northeast of Bakersfield and two were destroyed with 4 others damaged.  One firefighter was burned while fighting the fire.  The damage cost was estimated.  This same wind also was responsible for starting a fire in the Tehachapi Mountains by arcing power lines.  Over 1150 acres were burned in the Comanche Fire"" located 10 miles WSW of Tehachapi.  Points 8 miles east to 17 miles south of Bakersfield in the Southern San Joaquin Valley also experienced visibilities to near zero in blowing dust from this event.  Numerous minor traffic accidents occurred but no injuries or fatalities were reported from California Highway Patrol.  Damage costs for the blowing dusts were estimated.  Crop damage may have occurred but not assessable by the County Ag Commissioner.""",23,,,,,,,,,,,,,,,,,,
23,5608769,KERN CO.,TEHACHAPI,8/19/1997,1300,Wildfire, , ,0,0,200000,0,CA,PST, ,1043982,C,29,HNX,0,0, , , , ,10,WSW,10,WSW,TEHACHAPI, , , , ,1151 acres of grassland and forest were destroyed.,"A gradient wind (non-thunderstorm) with speeds at 40 MPH plus was caused by the old center of Hurricane Ignacio moving over the San Joaquin Valley.  Arsonist started blazes, named the Chocktaw Fire"," pushed into homes northeast of Bakersfield and two were destroyed with 4 others damaged.  One firefighter was burned while fighting the fire.  The damage cost was estimated.  This same wind also was responsible for starting a fire in the Tehachapi Mountains by arcing power lines.  Over 1150 acres were burned in the Comanche Fire"" located 10 miles WSW of Tehachapi.  Points 8 miles east to 17 miles south of Bakersfield in the Southern San Joaquin Valley also experienced visibilities to near zero in blowing dust from this event.  Numerous minor traffic accidents occurred but no injuries or fatalities were reported from California Highway Patrol.  Damage costs for the blowing dusts were estimated.  Crop damage may have occurred but not assessable by the County Ag Commissioner.""",24,,,,,,,,,,,,,,,,,,
24,5617529,KERN CO.,LAKE ISABELLA,9/6/1997,1400,Wildfire, , ,0,0,0,0,CA,PST, ,2069876,C,29,HNX,0,0, , , , ,5,SE,5,SE,LAKE ISABELLA, , , , ,The Thornton Wildfire in the Sequoia National Forest caused by a lightning strike approximately 5 miles southeast of Lake Isabella.  Cost figures unavailable but it burned 150 acres.,,25,,,,,,,,,,,,,,,,,,,
25,5614106,SAN BERNARDINO CO.,RUNNING SPGS,9/13/1997,1230,Wildfire, , ,0,0,250000,0,CA,PST, ,2068831,C,71,SGX,0,0, , , , , , , , ,RUNNING SPGS, , , , ,"Shots fired in a target range, set off a fire in the San Bernardino National Forest.  Strong winds in the area helped spread the fire that torched 1500 acres before it was brought under control. Fifteen buildings, including 10 homes were destroyed, most in the tiny communities of Frebalda, Smiley Park, and Live Oak, southwest of Running Springs.  Five hundred people were evacuated from their homes for more than a day, and Highways 330 and 18 were closed for an extended period of  time.   Damage to homes and buildings was estimated at $250,000.",,26,,,,,,,,,,,,,,,,,,,
26,5617526,TULARE CO.,SPRINGVILLE,9/24/1997,1200,Wildfire, , ,0,0,940000,0,CA,PST, ,2069873,C,107,HNX,0,0, , , , ,5,E,5,E,SPRINGVILLE, , , , ,Coffee Wildfire was caused from a vehicle fire.  It reached a size of 2470 acres within the Sequoia National Forest.,,27,,,,,,,,,,,,,,,,,,,
27,5617528,KERN CO.,DEMOCRAT SPGS,9/24/1997,1200,Wildfire, , ,0,0,215000,0,CA,PST, ,2069875,C,29,HNX,0,0, , , , , , , , ,DEMOCRAT SPGS, , , , ,The Democrat Wildfire. Cause unknown but it burned 734 acres in the Sequoia National Forest near the town of Democrat Hot Springs.,,28,,,,,,,,,,,,,,,,,,,
28,5617527,TULARE CO.,VISALIA,9/24/1997,1200,Wildfire, , ,0,0,750000,0,CA,PST, ,2069874,C,107,HNX,0,0, , , , ,32,ENE,32,ENE,VISALIA, , , , ,Amphitheater Fire.  It was the result of an escaped prescribed burn.  The total burn area was 242 acres within the Sequoia/Kings Canyon National Park.,,29,,,,,,,,,,,,,,,,,,,
29,5614112,SAN DIEGO CO.,DEL DIOS,9/25/1997,1145,Wildfire, , ,0,0,300000,0,CA,PST, ,2068834,C,73,SGX,0,0, , , , , , , , ,DEL DIOS, , , , ,"A fire, started by an arsonist, quickly went out of control due to hot, dry easterly winds in advance of Tropical Storm Nora.  Erratic sea breeze winds complicated fire fighting efforts by afternoon, as the blaze went on to torch some 1,100 acres in the Del Dios area.  Two homes were destroyed, one damaged, two sheds  and two motor homes gutted, and seven utility poles and transformers destroyed.  At the height of the fire, 1000 residences were evacuated, 2000 lost power, and the Del Dios Highway was closed.  Estimated damage to property totalled $300,000, and suppression efforts cost another  $350,000.",,30,,,,,,,,,,,,,,,,,,,
30,5624146,YUBA CO.,COUNTYWIDE,9/27/1997,400,Wildfire, , ,0,0,15000000,0,CA,PST, ,2071748,C,115,STO,0,0, , , , , , , , ,COUNTYWIDE, , , , ,,"High winds and very dry conditions helped spread the Williams Fire.  The fire burned 5700 acres, destroyed 91 dwellings and 136 outbuildings, 190 motor vehicles.  The $15 million dollar damage figure also includes the cost of suppression.",31,,,,,,,,,,,,,,,,,,,
31,5623101,ORANGE CO.,EL TORO MCAS,10/13/1997,1014,Wildfire, , ,0,0,0,0,CA,PST, ,2070054,C,59,SGX,0,0, , , , ,6,NE,5,N,EL TORO MCAS, , , , ,,"Santa Ana winds of 30 to 40 mph with frequent gusts over 60 mph developed below the Cajon Pass , through canyons in the Santa Ana Mountains,  and valley areas of  San Bernardino County.  The wind quickly drove an illegal scrap metal burn out of control in an isolated area north of Santiago Canyon.  The fire raced through Orange County's eastern canyons, destroying two buildings, causing voluntary evacuations, closing schools, and torching almost 6000 acres before it was brought under control.   Elsewhere, trees and power lines were blown down in Rialto and Fontana, and a Highway Patrol shed on the Banning/Beaumont city border was destroyed.  Several wind gusts to 80 mph were recorded at Fremont Canyon.",32,,,,,,,,,,,,,,,,,,,
32,5655668,KERN CO.,LAKE ISABELLA,8/31/1998,1430,Wildfire, , ,0,1,1000000,0,CA,PST, ,1064819,C,29,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , ,3,ENE,3,E,LAKE ISABELLA, , , , ,,"Thunderstorm wind at 45 knots from the east swept into the Paradise Cove area along the south shore of Lake Isabella.  Downed powerlines sparked a grass fire (Yankee Fire) that subsequently burned 1,100 acres at a cost to suppress of $1M.  There was one injury due to smoke inhalation.  Moored boats and jet skies were endangered by the high wind at docks along the south shore.  Flash Flood Warning erroneosly issued in conjunction with Severe Thunderstorm Warning ... no verification on the FFW.  Blowing dust was observed by several trained spotters at points east of the lake and along the south side of the lake.  The Yankee Fire was contained on 9/2/98.",33,,,,,,,,,,,,,,,,,,,
33,5664079,SAN BERNARDINO CO.,YUCAIPA,8/31/1998,1440,Wildfire, , ,0,0,0,0,CA,PST, ,2149002,C,71,SGX,0,0,OTHER FEDERAL AGENCY, , , , , , , ,YUCAIPA, , , , ,,"Strong thunderstorms fed by intense heat and humidity under strong high pressure aloft, developed as an upper-level low over southern Nevada began drifting toward southern California.  A few thunderstorms reached coastal areas, but most of the flooding and high winds remained farther inland.  Flooding was widespread throughout the Victor Valley where 1 to 2 inches of rain was reported.  In Hesperia, water was running 1/2 foot deep over some roads, flooding homes and intersections.  Running water trapped several people in Lucerne Valley.  In the mountains, street flooding was reported in Big Bear City, and in Forest Falls, Valley of the Falls drive was washed out.  Strong winds blew down trees in Rialto, where a child was pinned against a car.  In Moreno Valley, toppled power poles trapped one woman in her car for a time and several thousand lost power.  In northern sections of San Diego County, gusty winds blew down hundreds of trees, including the 100 year-old Bicentennial Tree"" in Vista", and unroofed one trailer home in San Marcos.  At the height of the storm,45,000 homes and businesses were without power due to lightning strikes and downed power lines.  Perhaps the hardest hit area was Hemet, where scores of massive trees were uprooted or torn apart, shingles blown off roofs, and fences toppled.  Water was running over a foot deep through the streets and actually flowed through the Hemet high school gymnasium.  The combination of wind-blown power lines and lightning, sparked numerous grass and brush fires.  In Yucaipa, a 30 acre blaze threatened several homes and forced the closure of Highway  38 before rain and fire fighters brought it under control.  In Ramona, about 4800 acres were charred, and hundreds of people evacuated as well.  A much more destructive wildfire developed from several lightning strikes and strong winds in the Juniper Flats area.  This fire went on to burn some 6000 acres, and destroyed 44 residences, 46 other structures, and 98 vehicles.  The total loss from this wildfire alone was estimated at $4.45 million.  Farther west in Orange County, a thunderstorm funnelled winds estimated at between 60 and 70 mph through Trabuco Canyon.  Lightning once again ignited another blaze in the Santiago Canyon area of the Cleveland National Forest.  The flames, fanned by winds in excess of 50 mph, charred almost 9000 acres before being brought under control.  The steep terrain of the Santa Ana Mountains, coupled with heavy brush, made this fire particularly difficult to extinguish.  Dozens were evacuated," but fire fighters were able to save the communities of Foothill Ranch and Portola Hills.""",34.0
34,5664080,RIVERSIDE CO.,HEMET,8/31/1998,1520,Wildfire, , ,0,0,4500000,0,CA,PST, ,2149002,C,65,SGX,0,0,OTHER FEDERAL AGENCY, , , , , , , ,NORCO, , , , ,,"Strong thunderstorms fed by intense heat and humidity under strong high pressure aloft, developed as an upper-level low over southern Nevada began drifting toward southern California.  A few thunderstorms reached coastal areas, but most of the flooding and high winds remained farther inland.  Flooding was widespread throughout the Victor Valley where 1 to 2 inches of rain was reported.  In Hesperia, water was running 1/2 foot deep over some roads, flooding homes and intersections.  Running water trapped several people in Lucerne Valley.  In the mountains, street flooding was reported in Big Bear City, and in Forest Falls, Valley of the Falls drive was washed out.  Strong winds blew down trees in Rialto, where a child was pinned against a car.  In Moreno Valley, toppled power poles trapped one woman in her car for a time and several thousand lost power.  In northern sections of San Diego County, gusty winds blew down hundreds of trees, including the 100 year-old Bicentennial Tree"" in Vista", and unroofed one trailer home in San Marcos.  At the height of the storm,45,000 homes and businesses were without power due to lightning strikes and downed power lines.  Perhaps the hardest hit area was Hemet, where scores of massive trees were uprooted or torn apart, shingles blown off roofs, and fences toppled.  Water was running over a foot deep through the streets and actually flowed through the Hemet high school gymnasium.  The combination of wind-blown power lines and lightning, sparked numerous grass and brush fires.  In Yucaipa, a 30 acre blaze threatened several homes and forced the closure of Highway  38 before rain and fire fighters brought it under control.  In Ramona, about 4800 acres were charred, and hundreds of people evacuated as well.  A much more destructive wildfire developed from several lightning strikes and strong winds in the Juniper Flats area.  This fire went on to burn some 6000 acres, and destroyed 44 residences, 46 other structures, and 98 vehicles.  The total loss from this wildfire alone was estimated at $4.45 million.  Farther west in Orange County, a thunderstorm funnelled winds estimated at between 60 and 70 mph through Trabuco Canyon.  Lightning once again ignited another blaze in the Santiago Canyon area of the Cleveland National Forest.  The flames, fanned by winds in excess of 50 mph, charred almost 9000 acres before being brought under control.  The steep terrain of the Santa Ana Mountains, coupled with heavy brush, made this fire particularly difficult to extinguish.  Dozens were evacuated," but fire fighters were able to save the communities of Foothill Ranch and Portola Hills.""",35.0
35,5664082,SAN DIEGO CO.,RAMONA,8/31/1998,1900,Wildfire, , ,0,0,0,0,CA,PST, ,2149002,C,73,SGX,0,0,NEWSPAPER, , , , , , , ,RAMONA, , , , ,,"Strong thunderstorms fed by intense heat and humidity under strong high pressure aloft, developed as an upper-level low over southern Nevada began drifting toward southern California.  A few thunderstorms reached coastal areas, but most of the flooding and high winds remained farther inland.  Flooding was widespread throughout the Victor Valley where 1 to 2 inches of rain was reported.  In Hesperia, water was running 1/2 foot deep over some roads, flooding homes and intersections.  Running water trapped several people in Lucerne Valley.  In the mountains, street flooding was reported in Big Bear City, and in Forest Falls, Valley of the Falls drive was washed out.  Strong winds blew down trees in Rialto, where a child was pinned against a car.  In Moreno Valley, toppled power poles trapped one woman in her car for a time and several thousand lost power.  In northern sections of San Diego County, gusty winds blew down hundreds of trees, including the 100 year-old Bicentennial Tree"" in Vista", and unroofed one trailer home in San Marcos.  At the height of the storm,45,000 homes and businesses were without power due to lightning strikes and downed power lines.  Perhaps the hardest hit area was Hemet, where scores of massive trees were uprooted or torn apart, shingles blown off roofs, and fences toppled.  Water was running over a foot deep through the streets and actually flowed through the Hemet high school gymnasium.  The combination of wind-blown power lines and lightning, sparked numerous grass and brush fires.  In Yucaipa, a 30 acre blaze threatened several homes and forced the closure of Highway  38 before rain and fire fighters brought it under control.  In Ramona, about 4800 acres were charred, and hundreds of people evacuated as well.  A much more destructive wildfire developed from several lightning strikes and strong winds in the Juniper Flats area.  This fire went on to burn some 6000 acres, and destroyed 44 residences, 46 other structures, and 98 vehicles.  The total loss from this wildfire alone was estimated at $4.45 million.  Farther west in Orange County, a thunderstorm funnelled winds estimated at between 60 and 70 mph through Trabuco Canyon.  Lightning once again ignited another blaze in the Santiago Canyon area of the Cleveland National Forest.  The flames, fanned by winds in excess of 50 mph, charred almost 9000 acres before being brought under control.  The steep terrain of the Santa Ana Mountains, coupled with heavy brush, made this fire particularly difficult to extinguish.  Dozens were evacuated," but fire fighters were able to save the communities of Foothill Ranch and Portola Hills.""",36.0
36,5664083,ORANGE CO.,LAKE FOREST,8/31/1998,2030,Wildfire, , ,0,0,0,0,CA,PST, ,2149002,C,59,SGX,0,0,OTHER FEDERAL AGENCY, , , ,8,NE,2,NE,LAKE FOREST, , , , ,,"Strong thunderstorms fed by intense heat and humidity under strong high pressure aloft, developed as an upper-level low over southern Nevada began drifting toward southern California.  A few thunderstorms reached coastal areas, but most of the flooding and high winds remained farther inland.  Flooding was widespread throughout the Victor Valley where 1 to 2 inches of rain was reported.  In Hesperia, water was running 1/2 foot deep over some roads, flooding homes and intersections.  Running water trapped several people in Lucerne Valley.  In the mountains, street flooding was reported in Big Bear City, and in Forest Falls, Valley of the Falls drive was washed out.  Strong winds blew down trees in Rialto, where a child was pinned against a car.  In Moreno Valley, toppled power poles trapped one woman in her car for a time and several thousand lost power.  In northern sections of San Diego County, gusty winds blew down hundreds of trees, including the 100 year-old Bicentennial Tree"" in Vista", and unroofed one trailer home in San Marcos.  At the height of the storm,45,000 homes and businesses were without power due to lightning strikes and downed power lines.  Perhaps the hardest hit area was Hemet, where scores of massive trees were uprooted or torn apart, shingles blown off roofs, and fences toppled.  Water was running over a foot deep through the streets and actually flowed through the Hemet high school gymnasium.  The combination of wind-blown power lines and lightning, sparked numerous grass and brush fires.  In Yucaipa, a 30 acre blaze threatened several homes and forced the closure of Highway  38 before rain and fire fighters brought it under control.  In Ramona, about 4800 acres were charred, and hundreds of people evacuated as well.  A much more destructive wildfire developed from several lightning strikes and strong winds in the Juniper Flats area.  This fire went on to burn some 6000 acres, and destroyed 44 residences, 46 other structures, and 98 vehicles.  The total loss from this wildfire alone was estimated at $4.45 million.  Farther west in Orange County, a thunderstorm funnelled winds estimated at between 60 and 70 mph through Trabuco Canyon.  Lightning once again ignited another blaze in the Santiago Canyon area of the Cleveland National Forest.  The flames, fanned by winds in excess of 50 mph, charred almost 9000 acres before being brought under control.  The steep terrain of the Santa Ana Mountains, coupled with heavy brush, made this fire particularly difficult to extinguish.  Dozens were evacuated," but fire fighters were able to save the communities of Foothill Ranch and Portola Hills.""",37.0
